No.,Author,Title,Publication,Start_Year,End_Year,Publication_Type,Source,비고
39,박준표,비행의 미인,영창서관,1923,,Book,T,
40,김동성,괴물,동아일보,1923.03.25,1923.05.15,Article,T,
41,포영,뱀 같은 계집,동명,1923.04.08,,Article,T,
42,포영,새빨간 봉랍,동명,1923.04.15,,Article,T,
43,N/A,살아 온 사체,동명,1923.04.22,,Article,T,
44,N/A,실패,동명,1923.04.29.,,Article,T,
45,연성흠,암암 중의 살인,청년,1923.04,1923.06,Article,T,
46,N/A,강도,동명,1923.05.06,1923.05.13,Article,T,
47,연성흠,B 적당,청년,1923.1,1924.05,Article,T,
48,염상섭,남방의 처녀,평문관,1924,,Book,T,
49,송완식,의문의 시체,영창서관,1924,,Book,T,
50,양건식,협웅록,시대일보,1924.03.31,1924.09.09,Article,T,
51,이상수,귀신탑,매일신보,1924.06.03,1925.01.07,Article,T,
52,염상섭,쾌한 지 도령,매일신보,1924.08.12,1925.01.03,Article,T,
53,유광렬,미인의 한,동아일보,1924.08.28,1924.11.08,Article,T,
54,윤백남,흑묘 이변,월간 야담,1924.12,,Article,T,
55,방정환,동생을 찾으러,어린이,1925.01,1925.10.,Article,T,
56,봄바람,낙화,조선일보,1924.03.02,1926.02.26,Article,T,
57,성주,바다의 처녀,매일신보,1925.05.09.,1926.02.26.,Article,T,
58,구라모치 다카오,의문의 죽음,조선공론,1925.09.,1925.12.,Article,T,
59,이찬희,무서운 코,신여성,1925.10.,,Article,T,
60,N/A,흑묘 물어,시대일보,1925.11.26.,1925.11.31.,Article,T,
61,박철혼,비행의 미인,영창서관,1926,,Book,T,
62,호관,혈가사,울산인쇄소,1926,,Book,T,
63,홍수동인,산타클로스,청년,1926.03.,,Article,T,
64,홍수동인,야도의 누,청년,1926.04,,Article,T,
65,방정환,칠칠단의 비밀,어린이,1926.04,1927.12,Article,T,
66,김광배,기인 기연,박문서관,1926,,Book,T,
67,근춘,야광주,청년,1926.05,1926.06,Article,T,
68,근춘,무중안,청년,1926.07.,,Article,T,
69,근춘,삼선 우표,청년,1926.10.,,Article,T,
70,근춘,열정의 범죄,청년,1926.11,1926.12,Article,T,
71,방정환,누구의 죄,별건곤,1926.12.,,Article,T,
72,연성흠,괴상한 미인,"창신서관, 백합사",1927,,Book,T,
