No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
322,저기 인간의 적이 있다 : #미스터리#감성#SF소설집,"천선란,강다연,유목연,이민섭",아작,2021,,Anthology,"MK, MN",
323,"절대적인 행복의 시간, 3분 : 조영주 장편소설",조영주,몽실북스,2021,,Book,"MK, DN",
324,주식왕 L군,썩빡꾸,부크크,2021,,Book,"MK, DN",
325,줌 인 : 고도원 미스터리 스릴러,고도원,고즈넉이엔티,2021,,Book,"MK, MN",
326,증발된 여자 : 김영주 미스터리 스릴러,김영주,고즈넉이엔티,2021,,Book,"MK, MN",
327,체르니 킬러 : 야화 소설집,야화,가쎄,2021,,Book,"MK, MN",
328,추락 : 한 사내가 72시간 동안 겪는 기묘한 함정 이야기 : 큰글자책 : 정명섭 장편소설,정명섭,북오션,2021,,Book,"MK, DN",
329,향수에 젖다 : 이수진 미스터리 스릴러,이수진,고즈넉이엔티,2021,,Book,"MK, MN",
330,Detective,박성신,퍼플,2021,,Book,"MK, DN",
331,(한국추리문학상) 황금펜상 수상작품집 : 2021 제15회 : 큰글자책,"한이,홍정기,홍성호,한새마,황세연,류성희,장우석",나비클럽,2022,,Anthology,"MK, DN",
332,(한국추리문학상) 황금펜상 수상작품집 : 2022·제16회,"김세화,한새마,박상민,김유철,홍정기,정혁용,박소해",나비클럽,2022,,Anthology,"MK, DN",
333,2035 SF 미스터리,"천선란,한이,김이환,황세연,도진기,전혜진,윤자영,한새마,듀나",나비클럽,2022,,Anthology,"MK, DN, MN",동일
334,2035 SF 미스터리 : 큰글자책,"천선란,한이,김이환,황세연,도진기,전혜진,윤자영,한새마,듀나",나비클럽,2022,,Anthology,"MK, DN, MN",동일
335,감귤마켓 셜록 : 박희종 장편소설,박희종,메이드인,2022,,Book,"MK, DN",
336,게이트 : 팬데믹 미스터리 : 심채윤 장편소설,심채윤,껴안음,2022,,Book,"MK, DN, MN",동일
337,고양이의 제단 : 김묘원 소설,김묘원,엘릭시르,2022,,Book,"MK, DN",
338,과학특성화중학교. 1-3,닥터베르,뜨인돌,2022,2023,Book,"MK, DN",
339,교도소 괴담 : 비밀스러운 교도소의 미스터리 괴담,박해로,북오션,2022,,Book,"MK, MN",
340,"그 겨울, 손탁 호텔에서 : 듀나 미스터리 소설집",듀나,퍼플레인,2022,,Book,"MK, DN, MN",동일
341,그렇게 할 수밖에 : 최도담 장편소설,최도담,네오픽션,2022,,Book,"MK, DN",
342,기다렸던 먹잇감이 제 발로 왔구나 : 고호 추리소설,고호,델피노,2022,,Book,"MK, DN",
343,꽃을 삼킨 여자 : 김재희 장편소설,김재희,몽실북스,2022,,Book,"MK, DN",
344,노량진 학원 살인사건 : 조금씩 맞물려가는 서로 다른 다섯 개 이야기,주요한,좋은땅,2022,,Book,"MK, DN",
345,누가 세바스찬을 쏘았는가 : 세븐 시크릿 게이트 : 노 원 추리소설,노원,푸른사상사,2022,,Book,"MK, DN",
346,레드 썬 : 처절한 복수,안명기,부크크,2022,,Book,"MK, DN",
347,리볼브 : 이종관 미스터리 스릴러,이종관,고즈넉이엔티,2022,,Book,"MK, DN, MN",동일
348,말괄량이 사이코패스 : 기윤슬 영어덜트 스릴러,기윤슬,고즈넉이엔티,2022,,Book,"MK, DN",
349,문밖에 누군가가,"김지현,오선영,장희원,황유미,송유나",네시오십분,2022,,Anthology,"MK, DN",
350,박제사의 사랑 : 이순원 장편소설,이순원,시공사,2022,,Book,"MK, DN",
351,복수 법률 사무소 : 도진기 장편소설. 1-3,도진기,황금가지,2022,,Book,"MK, DN",
352,북악산 미스터리,이정민,지식공감,2022,,Book,"MK, DN, MN",동일
353,붉은 기억 : 최정원 미스터리 스릴러,최정원,아프로스미디어,2022,,Book,"MK, MN",
354,사라진 사람들 : 보루 장편소설,보루,부크크 오리지널,2022,,Book,"MK, DN",
